id,catatan,createdAt,items,tokoNama,tokoId,kodeToko,total
"FrJVftJxKWtcg2OonbiE","","2025-10-17T04:00:09.904Z","[]","DEWI","prsjnt4eZWb4sKtsXAOd","K0502","0"
"GOKXFJ6kVC9QbWxIX0nT","","2025-11-12T08:34:40.082Z","[]","TOKO SOCHIBATUL MUNAWAROH","uyiOKpYICdUeSfb42aOn","K1528","0"
"GnfooWfaMyaSBFgtvldn","","2025-10-03T06:16:25.463Z","[]","SUMUK CELL","97dQ3fc5oJLPHPNSZvPe","K0504","0"
"GqqOIgsRAYsiAGsbUA4h","","2025-10-04T06:44:58.869Z","[]","KOPERASI AL ALAWY","Al3wNMsqeYtsyijq1Fvh","K1555","0"
"GrDsJSG40KHRPTAY0LcB","","2025-11-11T03:34:43.389Z","[]","SD 3 BUARAN","ebebnNTVsoHmjsVzpaxp","K1788","0"
"GrEB2PGDOV8L44XNpoUn","","2025-11-07T03:26:14.087Z","[]","NIKMAT SEMBAKO","ZPG57TQu3HgMHFcjJS94","K1543","0"
"GtM8bUyiBqFX9yc7BVqt","","2025-11-10T10:09:34.794Z","[]","SAMILATUN KHASANAH","Yqbds11ik7n7cnIbAlyj","K1945","0"
"H3szl6UGHFKSkTnxK52k","","2025-10-06T08:45:16.648Z","[]","TIGA SAUDARA","XiCglP9CSUbM0jrjNHny","K0367","0"
"H4w7ql4qnB7XYWmgqJ3u","","2025-10-06T05:48:59.091Z","[]","TOKO PAK MUL","R1Nb2wQKva33PYzOOokI","K1323","0"
"H7mkXjQ6mWYtb1txtAbb","","2025-10-28T04:39:14.572Z","[]","SD 1 BUARAN MAYONG","NKsOqczLvbzUQOrPcTvY","K1751","0"
"HCniS07snWXNFIv2x2Ci","","2025-10-30T06:38:48.961Z","[]","YANI 2","QHP3VKx7Xl66YirpJdsY","K1018","0"
"HLg1iZf81uHTVF5nXqOz","","2025-11-07T06:33:57.000Z","[]","SUMUK CELL","97dQ3fc5oJLPHPNSZvPe","K0504","0"
"HPJMIKsf0cqIeSUH4jHW","","2025-10-15T09:17:57.236Z","[]","TOKO SOCHIBATUL MUNAWAROH","uyiOKpYICdUeSfb42aOn","K1528","0"
